item,descricao,quantidade_necessaria,quantidade_marcada
Fraldas Pampers (verde) ou Huggies máxima proteção - M,Pampers ou Huggies máxima proteção,5,5
Fraldas Pampers (verde) ou Huggies máxima proteção - G,Pampers ou Huggies máxima proteção,5,1
Fraldas Pampers (verde) ou Huggies máxima proteção - XG,Pampers ou Huggies máxima proteção,10,0
Fraldas Pampers (verde) ou Huggies máxima proteção - XXG,Pampers ou Huggies máxima proteção,10,0
Lenço umedecido RN,Johnsons RN / mamãe bebe branco,4,4
Lenço umedecido,Normal,5,3
Sabonete,Johnsons Granado Branco / Johnsons baby / Johnsons Glicerina (laranja),6,0
Shampoo,Johnsons baby,4,0
Hidratantes,Granado Dermocalmante / Mamãe e Bebê Branco / Johnsons Derma Protect / Mustela Cerejinha / Pampers Babytopia,2,0
Bepantol baby ou Hipoglós transparente,Bepantol Baby ou Hipoglós transparente,2,0
Mamadeira Buba Easy Flow 0 meses,Rosa ou transparente,1,1
Mamadeira Buba +2 meses,Rosa ou transparente,2,2
Kit alimentação,Kit infantil,1,1
Kit escova e pente,Escova macia para bebê,1,1
Babador/bandana,Babador tipo bandana,5,5
Babador alimentação,Babador impermeável,2,0
Cotonete recém-nascido Buba,Cotonete infantil Buba,1,0
Cotonete Johnsons,Cotonete Johnsons,2,2
Prendedor de bico,Prendedor de chupeta,2,0
Aspirador nasal,Aspirador nasal infantil,1,1
Termômetro de banho,Termômetro infantil,1,1
Termômetro para febre,Digital,1,1
Toalha de banho com capuz,Toalha com capuz,1,1
Lençóis de elástico,Para berço,4,0
Rede para banho,Rede de apoio para banho,1,0
Body manga comprida P,-----,5,2
Body manga comprida M,-----,8,2
Body manga comprida G,-----,8,0
Body manga curta M,-----,5,0
Body manga curta G,-----,5,0
Calça P,-----,5,2
Calça M,-----,5,0
Calça G,-----,8,0
Macacão / tiptop P,-----,5,2
Macacão / tiptop  M,-----,5,2
Macacão / tiptop  G,-----,8,0
